Frequency,File_1,File_2,File_3,File_4,File_5,File_6,File_7,File_8,File_9,File_10,File_11
261289532,-97.31,-97.31,-97.31,-97.31,-97.31,-97.31,-97.31,-97.31,-97.31,-97.31,
263291759,-96.31,-96.31,-96.31,-96.31,-96.31,-96.31,-96.31,-96.31,-96.31,-96.31,
265293987,-96.34,-96.34,-96.34,-96.34,-96.34,-96.34,-96.34,-96.34,-96.34,-96.34,
267296214,-97.34,-97.34,-97.34,-97.34,-97.34,-97.34,-97.34,-97.34,-97.34,-97.34,
269298441,-96.84,-96.84,-96.84,-96.84,-96.84,-96.84,-96.84,-96.84,-96.84,-96.84,
271300668,-94.84,-94.84,-94.84,-94.84,-94.84,-94.84,-94.84,-94.84,-94.84,-94.84,
273302895,-97.88,-97.88,-97.88,-97.88,-97.88,-97.88,-97.88,-97.88,-97.88,-97.88,
275305122,-96.88,-96.88,-96.88,-96.88,-96.88,-96.88,-96.88,-96.88,-96.88,-96.88,
277307350,-96.38,-96.38,-96.38,-96.38,-96.38,-96.38,-96.38,-96.38,-96.38,-96.38,
279309577,-98.38,-98.38,-98.38,-98.38,-98.38,-98.38,-98.38,-98.38,-98.38,-98.38,
281311804,-98.41,-98.41,-98.41,-98.41,-98.41,-98.41,-98.41,-98.41,-98.41,-98.41,
283314031,-95.41,-95.41,-95.41,-95.41,-95.41,-95.41,-95.41,-95.41,-95.41,-95.41,
285316258,-98.41,-98.41,-98.41,-98.41,-98.41,-98.41,-98.41,-98.41,-98.41,-98.41,
287318486,-97.91,-97.91,-97.91,-97.91,-97.91,-97.91,-97.91,-97.91,-97.91,-97.91,
289320713,-98.41,-98.41,-98.41,-98.41,-98.41,-98.41,-98.41,-98.41,-98.41,-98.41,
291322940,-99.44,-99.44,-99.44,-99.44,-99.44,-99.44,-99.44,-99.44,-99.44,-99.44,
293325167,-97.44,-97.44,-97.44,-97.44,-97.44,-97.44,-97.44,-97.44,-97.44,-97.44,
295327394,-96.44,-96.44,-96.44,-96.44,-96.44,-96.44,-96.44,-96.44,-96.44,-96.44,
297329621,-98.94,-98.94,-98.94,-98.94,-98.94,-98.94,-98.94,-98.94,-98.94,-98.94,
299331849,-97.97,-97.97,-97.97,-97.97,-97.97,-97.97,-97.97,-97.97,-97.97,-97.97,
301334076,-98.97,-98.97,-98.97,-98.97,-98.97,-98.97,-98.97,-98.97,-98.97,-98.97,
303336303,-96.47,-96.47,-96.47,-96.47,-96.47,-96.47,-96.47,-96.47,-96.47,-96.47,
305338530,-96.97,-96.97,-96.97,-96.97,-96.97,-96.97,-96.97,-96.97,-96.97,-96.97,
307340757,-95.5,-95.5,-95.5,-95.5,-95.5,-95.5,-95.5,-95.5,-95.5,-95.5,
309342984,-97.0,-97.0,-97.0,-97.0,-97.0,-97.0,-97.0,-97.0,-97.0,-97.0,
311345212,-97.0,-97.0,-97.0,-97.0,-97.0,-97.0,-97.0,-97.0,-97.0,-97.0,
313347439,-96.5,-96.5,-96.5,-96.5,-96.5,-96.5,-96.5,-96.5,-96.5,-96.5,
315349666,-98.53,-98.53,-98.53,-98.53,-98.53,-98.53,-98.53,-98.53,-98.53,-98.53,
317351893,-97.03,-97.03,-97.03,-97.03,-97.03,-97.03,-97.03,-97.03,-97.03,-97.03,
319354120,-97.03,-97.03,-97.03,-97.03,-97.03,-97.03,-97.03,-97.03,-97.03,-97.03,
321356347,-98.03,-98.03,-98.03,-98.03,-98.03,-98.03,-98.03,-98.03,-98.03,-98.03,
323358575,-97.06,-97.06,-97.06,-97.06,-97.06,-97.06,-97.06,-97.06,-97.06,-97.06,
325360802,-95.56,-95.56,-95.56,-95.56,-95.56,-95.56,-95.56,-95.56,-95.56,-95.56,
327363029,-96.56,-96.56,-96.56,-96.56,-96.56,-96.56,-96.56,-96.56,-96.56,-96.56,
329365256,-96.56,-96.56,-96.56,-96.56,-96.56,-96.56,-96.56,-96.56,-96.56,-96.56,
331367483,-98.06,-98.06,-98.06,-98.06,-98.06,-98.06,-98.06,-98.06,-98.06,-98.06,
333369710,-98.59,-98.59,-98.59,-98.59,-98.59,-98.59,-98.59,-98.59,-98.59,-98.59,
335371938,-98.59,-98.59,-98.59,-98.59,-98.59,-98.59,-98.59,-98.59,-98.59,-98.59,
337374165,-98.09,-98.09,-98.09,-98.09,-98.09,-98.09,-98.09,-98.09,-98.09,-98.09,
339376392,-99.09,-99.09,-99.09,-99.09,-99.09,-99.09,-99.09,-99.09,-99.09,-99.09,
341378619,-99.12,-99.12,-99.12,-99.12,-99.12,-99.12,-99.12,-99.12,-99.12,-99.12,
343380846,-99.12,-99.12,-99.12,-99.12,-99.12,-99.12,-99.12,-99.12,-99.12,-99.12,
345383073,-98.12,-98.12,-98.12,-98.12,-98.12,-98.12,-98.12,-98.12,-98.12,-98.12,
347385301,-97.62,-97.62,-97.62,-97.62,-97.62,-97.62,-97.62,-97.62,-97.62,-97.62,
349387528,-97.66,-97.66,-97.66,-97.66,-97.66,-97.66,-97.66,-97.66,-97.66,-97.66,
351389755,-97.16,-97.16,-97.16,-97.16,-97.16,-97.16,-97.16,-97.16,-97.16,-97.16,
353391982,-98.16,-98.16,-98.16,-98.16,-98.16,-98.16,-98.16,-98.16,-98.16,-98.16,
355394209,-96.69,-96.69,-96.69,-96.69,-96.69,-96.69,-96.69,-96.69,-96.69,-96.69,
357396437,-98.19,-98.19,-98.19,-98.19,-98.19,-98.19,-98.19,-98.19,-98.19,-98.19,
359398664,-99.19,-99.19,-99.19,-99.19,-99.19,-99.19,-99.19,-99.19,-99.19,-99.19,
361400891,-96.69,-96.69,-96.69,-96.69,-96.69,-96.69,-96.69,-96.69,-96.69,-96.69,
363403118,-97.69,-97.69,-97.69,-97.69,-97.69,-97.69,-97.69,-97.69,-97.69,-97.69,
365405345,-98.22,-98.22,-98.22,-98.22,-98.22,-98.22,-98.22,-98.22,-98.22,-98.22,
367407572,-97.72,-97.72,-97.72,-97.72,-97.72,-97.72,-97.72,-97.72,-97.72,-97.72,
369409800,-97.22,-97.22,-97.22,-97.22,-97.22,-97.22,-97.22,-97.22,-97.22,-97.22,
371412027,-98.22,-98.22,-98.22,-98.22,-98.22,-98.22,-98.22,-98.22,-98.22,-98.22,
373414254,-95.75,-95.75,-95.75,-95.75,-95.75,-95.75,-95.75,-95.75,-95.75,-95.75,
375416481,-99.75,-99.75,-99.75,-99.75,-99.75,-99.75,-99.75,-99.75,-99.75,-99.75,
377418708,-96.25,-96.25,-96.25,-96.25,-96.25,-96.25,-96.25,-96.25,-96.25,-96.25,
379420935,-96.75,-96.75,-96.75,-96.75,-96.75,-96.75,-96.75,-96.75,-96.75,-96.75,
381423163,-98.25,-98.25,-98.25,-98.25,-98.25,-98.25,-98.25,-98.25,-98.25,-98.25,
383425390,-97.78,-97.78,-97.78,-97.78,-97.78,-97.78,-97.78,-97.78,-97.78,-97.78,
385427617,-95.78,-95.78,-95.78,-95.78,-95.78,-95.78,-95.78,-95.78,-95.78,-95.78,
387429844,-98.78,-98.78,-98.78,-98.78,-98.78,-98.78,-98.78,-98.78,-98.78,-98.78,
389432071,-97.78,-97.78,-97.78,-97.78,-97.78,-97.78,-97.78,-97.78,-97.78,-97.78,
391434298,-97.31,-97.31,-97.31,-97.31,-97.31,-97.31,-97.31,-97.31,-97.31,-97.31,
393436526,-97.81,-97.81,-97.81,-97.81,-97.81,-97.81,-97.81,-97.81,-97.81,-97.81,
395438753,-97.34,-97.34,-97.34,-97.34,-97.34,-97.34,-97.34,-97.34,-97.34,-97.34,
397440980,-99.34,-99.34,-99.34,-99.34,-99.34,-99.34,-99.34,-99.34,-99.34,-99.34,
399443207,-99.38,-99.38,-99.38,-99.38,-99.38,-99.38,-99.38,-99.38,-99.38,-99.38,
401445434,-97.38,-97.38,-97.38,-97.38,-97.38,-97.38,-97.38,-97.38,-97.38,-97.38,
403447661,-95.91,-95.91,-95.91,-95.91,-95.91,-95.91,-95.91,-95.91,-95.91,-95.91,
405449889,-95.91,-95.91,-95.91,-95.91,-95.91,-95.91,-95.91,-95.91,-95.91,-95.91,
407452116,-98.41,-98.41,-98.41,-98.41,-98.41,-98.41,-98.41,-98.41,-98.41,-98.41,
409454343,-98.94,-98.94,-98.94,-98.94,-98.94,-98.94,-98.94,-98.94,-98.94,-98.94,
411456570,-97.44,-97.44,-97.44,-97.44,-97.44,-97.44,-97.44,-97.44,-97.44,-97.44,
413458797,-97.44,-97.44,-97.44,-97.44,-97.44,-97.44,-97.44,-97.44,-97.44,-97.44,
415461024,-97.47,-97.47,-97.47,-97.47,-97.47,-97.47,-97.47,-97.47,-97.47,-97.47,
417463252,-97.5,-97.5,-97.5,-97.5,-97.5,-97.5,-97.5,-97.5,-97.5,-97.5,
419465479,-96.5,-96.5,-96.5,-96.5,-96.5,-96.5,-96.5,-96.5,-96.5,-96.5,
421467706,-97.0,-97.0,-97.0,-97.0,-97.0,-97.0,-97.0,-97.0,-97.0,-97.0,
423469933,-97.03,-97.03,-97.03,-97.03,-97.03,-97.03,-97.03,-97.03,-97.03,-97.03,
425472160,-96.03,-96.03,-96.03,-96.03,-96.03,-96.03,-96.03,-96.03,-96.03,-96.03,
427474388,-98.06,-98.06,-98.06,-98.06,-98.06,-98.06,-98.06,-98.06,-98.06,-98.06,
429476615,-98.06,-98.06,-98.06,-98.06,-98.06,-98.06,-98.06,-98.06,-98.06,-98.06,
431478842,-97.09,-97.09,-97.09,-97.09,-97.09,-97.09,-97.09,-97.09,-97.09,-97.09,
433481069,-99.09,-99.09,-99.09,-99.09,-99.09,-99.09,-99.09,-99.09,-99.09,-99.09,
435483296,-97.59,-97.59,-97.59,-97.59,-97.59,-97.59,-97.59,-97.59,-97.59,-97.59,
437485523,-98.12,-98.12,-98.12,-98.12,-98.12,-98.12,-98.12,-98.12,-98.12,-98.12,
439487751,-98.12,-98.12,-98.12,-98.12,-98.12,-98.12,-98.12,-98.12,-98.12,-98.12,
441489978,-98.16,-98.16,-98.16,-98.16,-98.16,-98.16,-98.16,-98.16,-98.16,-98.16,
443492205,-98.16,-98.16,-98.16,-98.16,-98.16,-98.16,-98.16,-98.16,-98.16,-98.16,
445494432,-98.69,-98.69,-98.69,-98.69,-98.69,-98.69,-98.69,-98.69,-98.69,-98.69,
447496659,-98.19,-98.19,-98.19,-98.19,-98.19,-98.19,-98.19,-98.19,-98.19,-98.19,
449498886,-97.69,-97.69,-97.69,-97.69,-97.69,-97.69,-97.69,-97.69,-97.69,-97.69,
451501114,-76.22,-76.22,-76.22,-76.22,-76.22,-76.22,-76.22,-76.22,-76.22,-76.22,-76.22
453503341,-94.22,-94.22,-94.22,-94.22,-94.22,-94.22,-94.22,-94.22,-94.22,-94.22,
455505568,-97.75,-97.75,-97.75,-97.75,-97.75,-97.75,-97.75,-97.75,-97.75,-97.75,
457507795,-97.75,-97.75,-97.75,-97.75,-97.75,-97.75,-97.75,-97.75,-97.75,-97.75,
459510022,-98.28,-98.28,-98.28,-98.28,-98.28,-98.28,-98.28,-98.28,-98.28,-98.28,
461512249,-88.28,-88.28,-88.28,-88.28,-88.28,-88.28,-88.28,-88.28,-88.28,-88.28,
463514477,-77.81,-77.81,-77.81,-77.81,-77.81,-77.81,-77.81,-77.81,-77.81,-77.81,-77.81
465516704,-93.81,-93.81,-93.81,-93.81,-93.81,-93.81,-93.81,-93.81,-93.81,-93.81,
467518931,-98.81,-98.81,-98.81,-98.81,-98.81,-98.81,-98.81,-98.81,-98.81,-98.81,
469521158,-81.84,-81.84,-81.84,-81.84,-81.84,-81.84,-81.84,-81.84,-81.84,-81.84,
471523385,-80.34,-80.34,-80.34,-80.34,-80.34,-80.34,-80.34,-80.34,-80.34,-80.34,
473525612,-78.38,-78.38,-78.38,-78.38,-78.38,-78.38,-78.38,-78.38,-78.38,-78.38,-78.38
475527840,-75.88,-75.88,-75.88,-75.88,-75.88,-75.88,-75.88,-75.88,-75.88,-75.88,-75.88
477530067,-98.91,-98.91,-98.91,-98.91,-98.91,-98.91,-98.91,-98.91,-98.91,-98.91,
479532294,-96.41,-96.41,-96.41,-96.41,-96.41,-96.41,-96.41,-96.41,-96.41,-96.41,
481534521,-91.94,-91.94,-91.94,-91.94,-91.94,-91.94,-91.94,-91.94,-91.94,-91.94,
483536748,-84.44,-84.44,-84.44,-84.44,-84.44,-84.44,-84.44,-84.44,-84.44,-84.44,
485538976,-87.94,-87.94,-87.94,-87.94,-87.94,-87.94,-87.94,-87.94,-87.94,-87.94,
487541203,-92.47,-92.47,-92.47,-92.47,-92.47,-92.47,-92.47,-92.47,-92.47,-92.47,
489543430,-93.97,-93.97,-93.97,-93.97,-93.97,-93.97,-93.97,-93.97,-93.97,-93.97,
491545657,-92.0,-92.0,-92.0,-92.0,-92.0,-92.0,-92.0,-92.0,-92.0,-92.0,
493547884,-97.0,-97.0,-97.0,-97.0,-97.0,-97.0,-97.0,-97.0,-97.0,-97.0,
495550111,-99.03,-99.03,-99.03,-99.03,-99.03,-99.03,-99.03,-99.03,-99.03,-99.03,
497552339,-98.53,-98.53,-98.53,-98.53,-98.53,-98.53,-98.53,-98.53,-98.53,-98.53,
